-PHBR,"Glu,NLP-1,FLP-4,PDF-2,PDF-1,FLP-7"
-PHCL,"Glu,FLP-11"
-PHCR,"Glu,FLP-11"
-PLML,Glu
-PLMR,Glu
-PLNL,ACh
-PLNR,ACh
-PQR,"Glu,FLP-10,PDF-1,PDF-2"
-PVCL,"ACh,FLP-11"
-PVCR,"ACh,FLP-11"
-PVDL,"Glu,FLP-4,FLP-22"
-PVDR,"Glu,FLP-4,FLP-22"
-PVM,Unknown(orphan)
-PVNL,"ACh,PDF-1"
-PVNR,"ACh,PDF-1"
-PVPL,"ACh,PDF-2,PDF-1"
-PVPR,"ACh,PDF-2,PDF-1"
-PVQL,Glu
-PVQR,Glu
-PVR,"Glu,FLP-10,PDF-2"
-PVT,"FLP-5,PDF-2,PDF-1"
-PVWL,"FLP-2,FLP-7,FLP-22"
-PVWR,"FLP-2,FLP-7,FLP-22"
-RIAL,Glu
-RIAR,Glu
-RIBL,"GABA,ACh"
-RIBR,"GABA,ACh"
-RICL,"Octopamine,NTC-1,FLP-7,FLP-22"
-RICR,"Octopamine,NTC-1,FLP-7,FLP-22"
-RID,"PDF-2,PDF-1,FLP-2"
-RIFL,ACh
-RIFR,ACh
-RIGL,"Glu,FLP-1,FLP-18"
-RIGR,"Glu,FLP-1,FLP-18"
-RIH,"ACh,5HT"
-RIML,"Glu,Tyramine,FLP-18,PDF-2"
-RIMR,"Glu,Tyramine,FLP-18,PDF-2"
-RIPL,Unknown(orphan)
-RIPR,Unknown(orphan)
-RIR,ACh
-RIS,"GABA,PDF-2"
-RIVL,"ACh,FLP-22"
-RIVR,"ACh,FLP-22"
-RMDDL,"ACh,FLP-7"
-RMDDR,"ACh,FLP-7"
-RMDL,"ACh,FLP-7"
-RMDR,"ACh,FLP-7"
-RMDVL,"ACh,FLP-7"
-RMDVR,"ACh,FLP-7"
-RMED,"GABA,PDF-1"
-RMEL,"GABA,PDF-1"
-RMER,"GABA,PDF-1"
-RMEV,"GABA,PDF-1"
-RMFL,ACh
-RMFR,ACh
-RMGL,"FLP-1,FLP-5,FLP-21,PDF-1"
-RMGR,"FLP-1,FLP-5,FLP-21,PDF-1"
-RMHL,ACh
-RMHR,ACh
-SAADL,"ACh,PDF-1,FLP-7"
-SAADR,"ACh,PDF-1,FLP-7"
-SAAVL,"ACh,PDF-1,FLP-7"
-SAAVR,"ACh,PDF-1,FLP-7"
